topology,coalition_size,cases,minimum_distance,median_distance,maximum_distance
cycle,0,6,0.11469486608726882,0.11469486608727394,0.11469486608727464
cycle,1,30,0.11469486608727045,0.11469486608727394,0.11469486608727592
cycle,2,60,0.11469486608727004,0.11469486608727396,0.11469486608727651
cycle,3,60,0.11469486608727064,0.11469486608727379,0.11469486608727704
cycle,4,30,0.11469486608726681,0.11469486608727365,0.11469486608727897
cycle,5,6,0.1146948660872704,0.11469486608727382,0.11469486608727529
path,0,6,0.11469486608726043,0.11469486608726871,0.11469486608729615
path,1,30,0.11469486608726034,0.11469486608726878,0.1146948660872945
path,2,60,0.11469486608726037,0.11469486608726857,0.11469486608729461
path,3,60,0.1146948660872604,0.11469486608726859,0.11469486608729436
path,4,30,0.11469486608726023,0.11469486608726912,0.11469486608729393
path,5,6,0.11469486608726065,0.11469486608726825,0.11469486608729387
complete,0,6,0.11469486608727235,0.11469486608727397,0.11469486608727417
complete,1,30,0.1146948660872674,0.11469486608727394,0.11469486608727468
complete,2,60,0.1146948660872691,0.11469486608727397,0.11469486608727514
complete,3,60,0.11469486608727025,0.11469486608727399,0.11469486608727697
complete,4,30,0.11469486608727067,0.114694866087274,0.114694866087277
complete,5,6,0.11469486608727232,0.11469486608727408,0.11469486608727432
