parameter,value,successes,trials,success_rate
eps_match,0.0001,7,49,0.14285714285714285
eps_match,0.0005,34,49,0.6938775510204082
eps_match,0.001,49,49,1.0
eps_match,0.005,49,49,1.0
eps_match,0.01,49,49,1.0
tau_cap,0.5,49,49,1.0
tau_cap,0.6,49,49,1.0
tau_cap,0.7,49,49,1.0
tau_cap,0.8,49,49,1.0
tau_cap,0.9,48,49,0.9795918367346939
tau_struct,0.4,49,49,1.0
tau_struct,0.5,49,49,1.0
tau_struct,0.6,49,49,1.0
tau_struct,0.7,49,49,1.0
tau_struct,0.8,49,49,1.0
tau_weak,0.0,49,49,1.0
tau_weak,0.1,49,49,1.0
tau_weak,0.15,49,49,1.0
tau_weak,0.2,49,49,1.0
tau_weak,0.3,49,49,1.0
