seed,p,regime,replicate,success_all_honest
20260719,0.4,none,0,1
20260720,0.4,none,1,1
20260721,0.4,none,2,1
20260819,0.4,one-distinct,0,1
20260820,0.4,one-distinct,1,1
20260821,0.4,one-distinct,2,1
20260919,0.4,two-distinct,0,1
20260920,0.4,two-distinct,1,1
20260921,0.4,two-distinct,2,1
20261019,0.4,three-distinct,0,1
20261020,0.4,three-distinct,1,1
20261021,0.4,three-distinct,2,1
20261119,0.4,two-colluding,0,1
20261120,0.4,two-colluding,1,1
20261121,0.4,two-colluding,2,1
20261219,0.4,three-colluding,0,1
20261220,0.4,three-colluding,1,1
20261221,0.4,three-colluding,2,1
20261319,0.4,three-partial,0,1
20261320,0.4,three-partial,1,1
20261321,0.4,three-partial,2,1
20270719,0.5,none,0,1
20270720,0.5,none,1,1
20270721,0.5,none,2,1
20270819,0.5,one-distinct,0,1
20270820,0.5,one-distinct,1,1
20270821,0.5,one-distinct,2,1
20270919,0.5,two-distinct,0,1
20270920,0.5,two-distinct,1,1
20270921,0.5,two-distinct,2,1
20271019,0.5,three-distinct,0,1
20271020,0.5,three-distinct,1,1
20271021,0.5,three-distinct,2,1
20271119,0.5,two-colluding,0,1
20271120,0.5,two-colluding,1,1
20271121,0.5,two-colluding,2,1
20271219,0.5,three-colluding,0,1
20271220,0.5,three-colluding,1,1
20271221,0.5,three-colluding,2,1
20271319,0.5,three-partial,0,1
20271320,0.5,three-partial,1,1
20271321,0.5,three-partial,2,1
20280719,0.6,none,0,1
20280720,0.6,none,1,1
20280721,0.6,none,2,1
20280819,0.6,one-distinct,0,1
20280820,0.6,one-distinct,1,1
20280821,0.6,one-distinct,2,1
20280919,0.6,two-distinct,0,1
20280920,0.6,two-distinct,1,1
20280921,0.6,two-distinct,2,1
20281019,0.6,three-distinct,0,1
20281020,0.6,three-distinct,1,1
20281021,0.6,three-distinct,2,1
20281119,0.6,two-colluding,0,1
20281120,0.6,two-colluding,1,1
20281121,0.6,two-colluding,2,1
20281219,0.6,three-colluding,0,1
20281220,0.6,three-colluding,1,1
20281221,0.6,three-colluding,2,1
20281319,0.6,three-partial,0,1
20281320,0.6,three-partial,1,1
20281321,0.6,three-partial,2,1
20290719,0.7,none,0,1
20290720,0.7,none,1,1
20290721,0.7,none,2,1
20290819,0.7,one-distinct,0,1
20290820,0.7,one-distinct,1,1
20290821,0.7,one-distinct,2,1
20290919,0.7,two-distinct,0,1
20290920,0.7,two-distinct,1,1
20290921,0.7,two-distinct,2,1
20291019,0.7,three-distinct,0,1
20291020,0.7,three-distinct,1,1
20291021,0.7,three-distinct,2,1
20291119,0.7,two-colluding,0,1
20291120,0.7,two-colluding,1,1
20291121,0.7,two-colluding,2,1
20291219,0.7,three-colluding,0,1
20291220,0.7,three-colluding,1,1
20291221,0.7,three-colluding,2,1
20291319,0.7,three-partial,0,1
20291320,0.7,three-partial,1,1
20291321,0.7,three-partial,2,1
20300719,0.8,none,0,1
20300720,0.8,none,1,1
20300721,0.8,none,2,1
20300819,0.8,one-distinct,0,1
20300820,0.8,one-distinct,1,1
20300821,0.8,one-distinct,2,1
20300919,0.8,two-distinct,0,1
20300920,0.8,two-distinct,1,1
20300921,0.8,two-distinct,2,1
20301019,0.8,three-distinct,0,1
20301020,0.8,three-distinct,1,1
20301021,0.8,three-distinct,2,1
20301119,0.8,two-colluding,0,1
20301120,0.8,two-colluding,1,1
20301121,0.8,two-colluding,2,1
20301219,0.8,three-colluding,0,1
20301220,0.8,three-colluding,1,1
20301221,0.8,three-colluding,2,1
20301319,0.8,three-partial,0,1
20301320,0.8,three-partial,1,1
20301321,0.8,three-partial,2,1
20310719,0.9,none,0,1
20310720,0.9,none,1,1
20310721,0.9,none,2,1
20310819,0.9,one-distinct,0,1
20310820,0.9,one-distinct,1,1
20310821,0.9,one-distinct,2,1
20310919,0.9,two-distinct,0,1
20310920,0.9,two-distinct,1,1
20310921,0.9,two-distinct,2,1
20311019,0.9,three-distinct,0,1
20311020,0.9,three-distinct,1,1
20311021,0.9,three-distinct,2,1
20311119,0.9,two-colluding,0,1
20311120,0.9,two-colluding,1,1
20311121,0.9,two-colluding,2,1
20311219,0.9,three-colluding,0,1
20311220,0.9,three-colluding,1,1
20311221,0.9,three-colluding,2,1
20311319,0.9,three-partial,0,1
20311320,0.9,three-partial,1,1
20311321,0.9,three-partial,2,1
20320719,1.0,none,0,1
20320720,1.0,none,1,1
20320721,1.0,none,2,1
20320819,1.0,one-distinct,0,1
20320820,1.0,one-distinct,1,1
20320821,1.0,one-distinct,2,1
20320919,1.0,two-distinct,0,1
20320920,1.0,two-distinct,1,1
20320921,1.0,two-distinct,2,1
20321019,1.0,three-distinct,0,1
20321020,1.0,three-distinct,1,1
20321021,1.0,three-distinct,2,1
20321119,1.0,two-colluding,0,1
20321120,1.0,two-colluding,1,1
20321121,1.0,two-colluding,2,1
20321219,1.0,three-colluding,0,1
20321220,1.0,three-colluding,1,1
20321221,1.0,three-colluding,2,1
20321319,1.0,three-partial,0,1
20321320,1.0,three-partial,1,1
20321321,1.0,three-partial,2,1
