attack,level_index,severity,successes,trials,success_rate,median_max_abs_error
drift,0,0.0,30,30,1.0,8.628409714495078e-08
drift,1,2.5e-05,30,30,1.0,9.342223836195096e-08
drift,2,0.0001,30,30,1.0,9.181647618594635e-08
drift,3,0.0005,30,30,1.0,8.359305887079005e-08
drift,4,0.002,0,30,0.0,1.0444730753215885
oscillation,0,0.0,30,30,1.0,9.110320189908983e-08
oscillation,1,0.00025,1,30,0.03333333333333333,1.8909380701080734
oscillation,2,0.001,0,30,0.0,2.0774348604060346
oscillation,3,0.005,0,30,0.0,1.912609156074138
oscillation,4,0.02,0,30,0.0,0.9695093100062975
copy-dependent,0,0.0,30,30,1.0,9.068003239964817e-08
copy-dependent,1,0.00025,30,30,1.0,9.42848030656418e-08
copy-dependent,2,0.001,0,30,0.0,1.0917506975368978
copy-dependent,3,0.005,0,30,0.0,0.8284764078149589
copy-dependent,4,0.02,0,30,0.0,0.5937946624594092
